epoch,train,partialtrain,Rsplt1,Rsplt2,Rsplt3,Rsplt4,Rsplt5,RspltAVE,Xshft,pizeo,statY,infoY,BLANK,best_train,best_partialtrain,best_Rsplt1,best_Rsplt2,best_Rsplt3,best_Rsplt4,best_Rsplt5,best_Rsplt_AVE,best_Xshft,best_pizeo,best_statY,best_infoY,save,attack_gamma
0,55.9682,328.8534,71.1667,70.7455,69.4492,71.3634,72.4399,71.0329,81.9649,44.7880,51.4889,19.8175,                         ,55.9682,328.8534,71.1667,70.7455,69.4492,71.3634,72.4399,71.0329,81.9649,44.7880,51.4889,19.8175,"['partialTrain', 'Rsplt1', 'Rsplt2', 'Rsplt3', 'Rsplt4', 'Rsplt5', 'Xshft', 'pizeo', 'statY', 'infoY', 'Train', 'Rsplt_AVE']",0.009999999776482582
1,29.0265,315.2643,33.2770,32.4656,33.7074,33.1827,33.0216,33.1308,69.7976,85.1530,66.6830,108.2262,                         ,29.0265,315.2643,33.2770,32.4656,33.7074,33.1827,33.0216,33.1308,69.7976,44.7880,51.4889,19.8175,"['partialTrain', 'Rsplt1', 'Rsplt2', 'Rsplt3', 'Rsplt4', 'Rsplt5', 'Xshft', 'Train', 'Rsplt_AVE']","tensor([0.0100], device='cuda:0')"
2,21.5373,193.8632,37.9198,36.3036,37.7908,37.3533,37.3555,37.3446,57.9582,57.1369,50.5535,42.1850,                         ,21.5373,193.8632,33.2770,32.4656,33.7074,33.1827,33.0216,33.1308,57.9582,44.7880,50.5535,19.8175,"['partialTrain', 'Xshft', 'statY', 'Train']","tensor([0.0100], device='cuda:0')"
3,5.4373,79.6234,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,4.3942,                         ,5.4373,79.6234,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,4.3942,"['partialTrain', 'Rsplt1', 'Rsplt2', 'Rsplt3', 'Rsplt4', 'Rsplt5', 'Xshft', 'pizeo', 'statY', 'infoY', 'Train', 'Rsplt_AVE']","tensor([0.0100], device='cuda:0')"
4,2.4532,38.8962,8.3737,7.9554,8.0207,8.1589,8.1895,8.1396,7.1610,5.3206,6.1913,1.7111,                         ,2.4532,38.8962,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,1.7111,"['partialTrain', 'infoY', 'Train']","tensor([0.0100], device='cuda:0')"
5,232.7996,1344.8302,257.3949,256.1071,251.7499,256.3820,260.5683,256.4404,241.1040,139.4299,184.4421,89.4441,                         ,2.4532,38.8962,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0100], device='cuda:0')"
6,498.5619,521.6843,586.8162,582.8203,575.4658,585.6443,593.4189,584.8331,552.4516,324.5114,428.5002,224.2211,                         ,2.4532,38.8962,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0100], device='cuda:0')"
7,109.2998,954.3359,136.6524,135.7441,134.2681,136.1153,137.9068,136.1374,118.4994,84.3674,92.8976,57.8784,                         ,2.4532,38.8962,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0113], device='cuda:0')"
8,463.3794,896.9616,540.4050,536.2835,536.2800,542.0623,547.2087,540.4479,597.1406,522.6990,536.4492,489.1170,                         ,2.4532,38.8962,6.6874,6.6287,6.3275,6.5811,6.7017,6.5853,5.6355,2.1650,5.3272,1.7111,[],"tensor([0.0130], device='cuda:0')"
9,8.3084,632.4098,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,11.9731,17.1156,15.3744,21.3647,                         ,2.4532,38.8962,4.9229,4.9225,4.9219,4.9182,4.9932,4.9357,5.6355,2.1650,5.3272,1.7111,"['Rsplt1', 'Rsplt2', 'Rsplt3', 'Rsplt4', 'Rsplt5', 'Rsplt_AVE']","tensor([0.0131], device='cuda:0')"
