pretty_comp,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,delta_e,magmom_pa,energy_pa,stability,bandgap,volume_pa
Mn2AlB2,3,0.6000000000000001,0.5142563181316472,0.4609063239604281,0.4418818424353128,0.4287303134918266,5.0,25.0,20.0,14.6,8.319999999999999,5.0,52.0,73.0,21.0,64.2,9.76,52.0,10.811,54.938045,44.127045,31.69592572,18.593695424000003,10.811,933.47,2348.0,1414.53,1733.494,491.60480000000007,1519.0,7.0,13.0,6.0,10.6,2.88,7.0,2.0,4.0,2.0,3.0,0.8,2.0,84.0,139.0,55.0,113.4,23.52,84.0,1.55,2.04,0.49,1.7580000000000002,0.2256,1.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.6,0.4800000000000001,0.0,0.0,5.0,5.0,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,4.6,1.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,2.4,0.0,0.0,5.0,5.0,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,7.1725,16.48,9.3075,10.36003448276,2.550027586208,7.1725,0.0,1.524,1.524,0.6096,0.7315200000000001,0.0,0.0,0.000310120689655,0.000310120689655,0.000124048275862,0.0001488579310343,0.0,166.0,225.0,59.0,198.2,25.76,166.0,2.0,0.6,2.0,0.0,False,0.0582590102347919,0.0130072410935318,-0.471484949517,0.16162488,-7.502581172,-0.0607184837179,0.0,9.06212
KFeF3,3,0.66332495807108,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,9.0,26.0,17.0,14.4,6.480000000000001,9.0,3.0,93.0,90.0,67.4,30.72,93.0,18.9984032,55.845,36.8465968,30.38770192,13.667158464000002,18.9984032,53.5,1811.0,1757.5,461.606,539.7575999999999,53.5,1.0,17.0,16.0,12.0,6.0,17.0,2.0,4.0,2.0,2.8,0.96,2.0,57.0,203.0,146.0,101.2,53.040000000000006,57.0,0.82,3.98,3.16,2.918,1.2744,3.98,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,6.0,6.0,1.2,1.9199999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,6.0,2.0,7.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,1.0,1.0,0.6,0.4800000000000001,1.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.6,0.9600000000000002,1.0,9.7075,73.1066666667,63.3991666667,22.59183333334,20.205933333344,9.7075,0.0,1.97,1.97,1.182,0.9456,1.97,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,15.0,229.0,214.0,100.6,102.71999999999998,15.0,1.8,3.0,1.2,0.0,True,0.9176189628313964,0.2013351080323711,-2.55141269248,0.7998859,-5.306486694,-0.0069096103767299,0.0,13.3855
Cs3YF6,3,0.6782329983125268,0.6248799769526243,0.6037190412142994,0.6006677156890837,0.6000585690081267,9.0,55.0,46.0,25.8,20.16,9.0,5.0,93.0,88.0,58.5,41.4,93.0,18.9984032,132.9054519,113.9070487,60.16126249,49.395431148,18.9984032,53.5,1799.0,1745.5,302.477,299.30460000000005,53.5,1.0,17.0,16.0,10.8,7.439999999999999,17.0,2.0,6.0,4.0,3.5,1.8,2.0,57.0,244.0,187.0,126.4,83.28,57.0,0.79,3.98,3.19,2.747,1.4796,3.98,1.0,2.0,1.0,1.7,0.42,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,1.0,1.0,0.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,4.8,2.64,7.0,0.0,1.0,1.0,0.3,0.4199999999999999,0.0,0.0,1.0,1.0,0.6,0.48,1.0,0.0,9.0,9.0,0.9,1.6200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,1.8,1.4400000000000002,1.0,9.7075,115.765,106.0575,43.7905,43.18470000000001,9.7075,0.0,1.97,1.97,1.182,0.9456,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,97.1,98.52,15.0,1.7,3.0,0.1,0.0,True,0.9214503994822504,0.2182815410690789,-3.46244953498,-6.241e-05,-5.2394344980000005,-0.0833877213333,5.667999999999999,22.9602
NpAs,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,33.0,93.0,60.0,63.0,30.0,33.0,22.0,84.0,62.0,53.0,31.0,22.0,74.9216,237.0,162.0784,155.9608,81.0392,74.9216,917.0,1090.0,173.0,1003.5,86.5,917.0,3.0,15.0,12.0,9.0,6.0,3.0,4.0,7.0,3.0,5.5,1.5,4.0,119.0,190.0,71.0,154.5,35.5,119.0,1.36,2.18,0.8200000000000001,1.77,0.41,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,7.0,15.0,8.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,3.0,19.0,16.0,11.0,8.0,3.0,18.45375,22.175,3.721250000000001,20.314375,1.8606250000000009,18.45375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,166.0,104.0,114.0,52.0,62.0,2.0,1.5,5.5,2.0,False,0.1547306964721815,0.0386826741180453,-0.681358101875,1.9417695,-9.47745418,-0.130230253594,0.0,24.5105
LaSbTe,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,51.0,57.0,6.0,53.333333333333336,2.444444444444445,51.0,13.0,90.0,77.0,62.66666666666666,33.111111111111114,13.0,121.76,138.90547,17.145470000000003,129.42182333333335,6.322431111111119,121.76,722.66,1193.0,470.34,939.8133333333332,168.79111111111106,722.66,3.0,16.0,13.0,11.333333333333334,5.5555555555555545,3.0,5.0,6.0,1.0,5.333333333333333,0.4444444444444443,5.0,138.0,207.0,69.0,161.33333333333334,30.444444444444446,138.0,1.1,2.1,1.0,1.75,0.4333333333333333,1.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.333333333333333,1.5555555555555554,0.0,1.0,10.0,9.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,11.333333333333334,5.5555555555555545,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6666666666666667,1.111111111111111,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.666666666666667,2.8888888888888893,2.0,31.56,36.8975,5.337500000000002,34.40694444443333,1.8979629629555568,31.56,0.0,0.464,0.464,0.1546666666666666,0.2062222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,194.0,42.0,170.66666666666666,15.555555555555552,152.0,2.0,2.333333333333333,7.0,0.0,False,0.2211992169285951,0.0470896355118237,-1.27850052611,2.46666666667e-05,-5.34344751333,0.00072179166667,0.0,31.4417
ErInCu2,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,29.0,68.0,39.0,43.75,14.75,29.0,35.0,75.0,40.0,59.5,12.25,64.0,63.546,167.259,103.713,102.29225,38.74625,63.546,429.75,1770.0,1340.25,1228.8225,399.53625,1357.77,3.0,13.0,10.0,9.5,3.25,11.0,4.0,6.0,2.0,4.75,0.75,4.0,132.0,189.0,57.0,148.75,20.125,132.0,1.24,1.9,0.6599999999999999,1.705,0.2324999999999999,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,12.0,12.0,3.0,4.5,0.0,11.0,14.0,3.0,12.25,1.25,11.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.75,0.0,1.0,5.0,4.0,2.25,1.375,1.0,11.07,30.585,19.515,19.24625,8.17625,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,225.0,86.0,195.75,29.25,225.0,1.5,0.25,7.5,3.0,False,0.1031799049762131,0.0177408169208428,-0.334252435,-0.000291125,-4.0130519625,-0.0143932027202,0.0,17.7856
Mn7BiO12,3,0.6964194138592059,0.6374311087929093,0.6078951782805767,0.6019508896809522,0.6002731676451956,8.0,83.0,75.0,17.7,11.64,8.0,52.0,87.0,35.0,74.7,15.89,87.0,15.9994,208.9804,192.981,39.276975750000005,27.933090900000003,15.9994,54.8,1519.0,1464.2,591.75,649.075,54.8,7.0,16.0,9.0,12.8,4.0600000000000005,16.0,2.0,6.0,4.0,2.9,1.08,2.0,66.0,148.0,82.0,95.65,35.58,66.0,1.55,3.44,1.89,2.7075,0.8789999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.55,1.785,4.0,0.0,10.0,10.0,2.25,2.7,0.0,0.0,14.0,14.0,0.7,1.3299999999999998,0.0,6.0,29.0,23.0,7.5,2.15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.35,0.945,2.0,0.0,5.0,5.0,1.75,2.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.1,1.33,2.0,9.105,32.95,23.845,10.781155172415,2.216884482758501,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,0.0001085422413792,0.000141104913793,0.0,12.0,217.0,205.0,83.75,93.275,12.0,2.0,2.55,2.25,0.7,False,0.5905846039144353,0.1368415338507428,-1.91335920955,1.40001173,-7.258414022,0.0425434625,0.0,10.2812
LaOs2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,57.0,76.0,19.0,69.66666666666667,8.444444444444443,76.0,13.0,57.0,44.0,42.333333333333336,19.555555555555557,57.0,138.90547,190.23,51.32452999999998,173.1218233333333,22.81090222222222,190.23,1193.0,3306.0,2113.0,2601.6666666666665,939.1111111111112,3306.0,3.0,8.0,5.0,6.333333333333333,2.2222222222222223,8.0,6.0,6.0,0.0,6.0,0.0,6.0,144.0,207.0,63.0,165.0,28.0,144.0,1.1,2.2,1.1,1.8333333333333333,0.488888888888889,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.333333333333333,2.2222222222222223,6.0,0.0,14.0,14.0,9.333333333333334,6.222222222222221,14.0,3.0,22.0,19.0,15.666666666666666,8.444444444444445,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,5.666666666666667,2.2222222222222223,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,5.666666666666667,2.2222222222222223,4.0,14.09,36.8975,22.8075,21.6925,10.136666666666668,14.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,2.0,0.0,4.333333333333333,9.333333333333334,False,0.2610315117410557,0.0580070026091235,-0.0419115633333,3.89833333333e-05,-9.17104075667,-0.0419115633333,0.0,19.3352
V2ZnO6,3,0.7114582486036499,0.6758002217303778,0.6672315521896236,0.6667105455840667,0.6666677967664447,8.0,30.0,22.0,13.77777777777778,7.703703703703705,8.0,46.0,87.0,41.0,75.88888888888889,14.814814814814817,87.0,15.9994,65.38,49.3806,29.25104444444444,17.668859259259257,15.9994,54.8,2183.0,2128.2,598.6088888888889,725.0785185185186,54.8,5.0,16.0,11.0,13.11111111111111,3.851851851851853,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,153.0,87.0,91.55555555555556,34.07407407407408,66.0,1.63,3.44,1.81,2.838888888888889,0.8014814814814817,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.7777777777777777,4.0,0.0,10.0,10.0,1.7777777777777777,2.3703703703703702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,7.0,6.444444444444445,1.234567901234568,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.8888888888888888,2.0,0.0,7.0,7.0,1.5555555555555556,2.419753086419753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.888888888888889,1.8271604938271604,2.0,9.105,13.96,4.855,10.512222222222224,1.8762962962962968,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,80.44444444444444,91.25925925925924,12.0,2.0,2.6666666666666665,1.7777777777777777,0.0,True,0.5591387152201337,0.1236623795718883,-2.1461532995400003,-1.29222222222e-05,-6.69409932778,0.0182770704578,2.168,10.8793
Ti3SnH,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,1.0,50.0,49.0,23.4,10.64,22.0,43.0,92.0,49.0,60.2,20.64,43.0,1.00794,118.71,117.70206,52.663788,26.4184848,47.867,14.01,1941.0,1926.99,1268.418,807.0984000000001,1941.0,1.0,14.0,13.0,5.4,3.4400000000000004,4.0,1.0,5.0,4.0,3.6,1.0399999999999998,4.0,31.0,160.0,129.0,130.0,39.6,160.0,1.54,2.2,0.6600000000000001,1.7560000000000002,0.2592,1.54,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,10.0,10.0,3.2,2.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.4,3.4400000000000004,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,8.0,8.0,4.8,3.8400000000000007,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.8,2.64,8.0,6.615,33.285,26.669999999999995,17.994,6.116399999999998,16.69,0.0,7.853,7.853,1.5706,2.51296,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.351999999998e-05,1.0815999999984e-05,2.25333333333e-05,141.0,194.0,53.0,183.4,16.959999999999997,194.0,1.8,0.4,3.2,0.0,False,0.1031799049762132,0.0181304692088187,-0.453212948079,0.13666022,-6.530992974,-0.0350946221920999,0.0,14.4111
