pretty_comp,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,delta_e,magmom_pa,energy_pa,stability,bandgap,volume_pa
EuF2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,9.0,63.0,54.0,27.0,24.0,9.0,25.0,93.0,68.0,70.33333333333333,30.222222222222225,93.0,18.9984032,151.964,132.9655968,63.3202688,59.09582079999999,18.9984032,53.5,1095.0,1041.5,400.6666666666667,462.88888888888886,53.5,3.0,17.0,14.0,12.333333333333334,6.222222222222221,17.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,57.0,198.0,141.0,104.0,62.66666666666666,57.0,1.185,3.98,2.795,3.0483333333333333,1.242222222222222,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.333333333333333,2.222222222222222,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.333333333333333,3.1111111111111107,0.0,7.0,9.0,2.0,7.666666666666667,0.888888888888889,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.333333333333333,3.1111111111111107,0.0,1.0,7.0,6.0,3.0,2.6666666666666665,1.0,9.7075,36.46,26.7525,18.625,11.89,9.7075,0.0,1.97,1.97,1.3133333333333332,0.8755555555555556,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,86.33333333333333,95.11111111111111,15.0,2.0,3.333333333333333,0.0,2.333333333333333,True,0.8551562929053329,0.1900347317567406,-4.56637785609,-6e-06,-6.16685178333,-0.924527128933,7.938,13.6938
BaEr2F8,3,0.7551476239016431,0.7315093629975883,0.7274191526747597,0.7272791179607141,0.7272727966985622,9.0,68.0,59.0,24.0,21.818181818181817,9.0,9.0,93.0,84.0,74.81818181818181,26.446280991735534,93.0,18.9984032,167.259,148.26059679999997,56.7120205090909,54.85617063140496,18.9984032,53.5,1770.0,1716.5,451.6363636363636,579.1074380165289,53.5,2.0,17.0,15.0,13.090909090909092,5.68595041322314,17.0,2.0,6.0,4.0,3.090909090909091,1.586776859504132,2.0,57.0,215.0,158.0,95.36363636363636,55.801652892561975,57.0,0.89,3.98,3.09,3.200909090909091,1.1332231404958677,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.636363636363636,1.9834710743801656,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2.1818181818181817,3.5702479338842976,0.0,2.0,14.0,12.0,7.818181818181818,2.2479338842975207,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7272727272727273,0.396694214876033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3636363636363636,0.5950413223140495,0.0,0.0,2.0,2.0,1.0909090909090908,0.3305785123966941,1.0,9.7075,63.59,53.88250000000001,18.401818181818182,12.64628099173554,9.7075,0.0,1.97,1.97,1.4327272727272726,0.7814876033057853,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,67.0,75.63636363636364,15.0,2.0,3.636363636363636,0.0,2.1818181818181817,True,0.908097311920564,0.1725295719137894,-4.39336791028,-1.08545454545e-05,-6.45751359273,-0.0354635153971,7.716,13.2527
ScF3,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,9.0,21.0,12.0,12.0,4.5,9.0,11.0,93.0,82.0,72.5,30.75,93.0,18.9984032,44.955912,25.9575088,25.4877804,9.7340658,18.9984032,53.5,1814.0,1760.5,493.625,660.1875,53.5,3.0,17.0,14.0,13.5,5.25,17.0,2.0,4.0,2.0,2.5,0.75,2.0,57.0,170.0,113.0,85.25,42.375,57.0,1.36,3.98,2.62,3.325,0.9825000000000002,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,6.0,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,1.0,9.7075,22.235,12.5275,12.839375,4.6978125,9.7075,0.0,1.97,1.97,1.4775,0.73875,1.97,0.0,6.35e-06,6.35e-06,1.5875e-06,2.3812500000000003e-06,0.0,15.0,194.0,179.0,59.75,67.125,15.0,2.0,3.75,0.25,0.0,True,0.8202341305415322,0.1537938994765372,-4.2677828756,1.0425e-05,-6.94256789,0.002050735,6.597,15.7365
LaOF,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,8.0,57.0,49.0,24.666666666666668,21.55555555555556,8.0,13.0,93.0,80.0,64.33333333333333,34.22222222222222,13.0,15.9994,138.90547,122.90607,57.96775773333334,53.95847484444445,15.9994,53.5,1193.0,1139.5,433.76666666666665,506.1555555555556,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,57.0,207.0,150.0,110.0,64.66666666666667,57.0,1.1,3.98,2.88,2.84,1.16,1.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.333333333333333,1.5555555555555556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.0,3.333333333333333,1.0,9.105,36.8975,27.7925,18.570000000000004,12.218333333333334,9.105,0.0,1.97,1.97,0.6566666666666666,0.8755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,73.66666666666667,80.22222222222223,12.0,2.0,3.0,0.3333333333333333,0.0,True,0.8742676704055721,0.1877985827388015,-4.15092745834,1.36e-05,-7.78947923,0.00730694833333,4.46,15.4931
YOF,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,8.0,39.0,31.0,18.666666666666668,13.555555555555555,8.0,12.0,93.0,81.0,64.0,34.666666666666664,12.0,15.9994,88.90585,72.90645,41.30121773333334,31.736421511111114,15.9994,53.5,1799.0,1745.5,635.7666666666667,775.4888888888889,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,57.0,190.0,133.0,104.33333333333331,57.11111111111111,57.0,1.22,3.98,2.76,2.8800000000000003,1.1066666666666665,1.22,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.333333333333333,1.5555555555555556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.0,3.333333333333333,1.0,9.105,32.365,23.26,17.059166666666666,10.203888888888889,9.105,0.0,1.97,1.97,0.6566666666666666,0.8755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,73.66666666666667,80.22222222222223,12.0,2.0,3.0,0.3333333333333333,0.0,True,0.8510880369988522,0.1810794261022167,-4.12752504167,-0.0001827166666669,-8.275738505,0.000913175,5.315,12.9706
NdOF,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,8.0,60.0,52.0,25.666666666666668,22.88888888888889,8.0,19.0,93.0,74.0,66.33333333333333,31.55555555555556,19.0,15.9994,144.242,128.24259999999998,59.74660106666667,56.330265955555554,15.9994,53.5,1294.0,1240.5,467.4333333333333,551.0444444444444,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,57.0,201.0,144.0,108.0,62.0,57.0,1.14,3.98,2.84,2.853333333333333,1.142222222222222,1.14,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,1.7777777777777777,0.0,6.0,7.0,1.0,6.333333333333333,0.4444444444444443,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444445,0.0,1.0,10.0,9.0,4.333333333333333,3.777777777777777,1.0,9.105,34.81,25.705,17.874166666666667,11.290555555555557,9.105,0.0,1.97,1.97,0.6566666666666666,0.8755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,73.66666666666667,80.22222222222223,12.0,2.0,3.0,0.0,1.3333333333333333,True,0.8668661146057182,0.1856337802261377,-4.05736582834,-6.33333333333e-05,-7.638411191669999,-0.0940290967666,4.78,14.5812
PuOF,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,8.0,94.0,86.0,37.0,38.0,8.0,24.0,93.0,69.0,68.0,29.33333333333333,24.0,15.9994,244.0,228.0006,92.99926773333334,100.66715484444444,15.9994,53.5,913.0,859.5,340.43333333333334,381.7111111111111,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,7.0,5.0,3.6666666666666665,2.222222222222222,2.0,57.0,187.0,130.0,103.33333333333331,55.77777777777777,57.0,1.28,3.98,2.7,2.9,1.08,1.28,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.6666666666666665,0.0,6.0,8.0,2.0,7.0,0.6666666666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,1.0,8.0,7.0,3.6666666666666665,2.8888888888888893,1.0,9.105,18.08,8.974999999999998,12.2975,3.854999999999999,9.105,0.0,1.97,1.97,0.6566666666666666,0.8755555555555556,0.0,0.0,0.3180036375,0.3180036375,0.1060012125,0.14133495,0.0,11.0,15.0,4.0,12.666666666666666,1.5555555555555554,11.0,2.0,3.0,0.0,2.0,False,0.8383788075346608,0.1774665263255888,-4.00921231165,1.66665683333,-10.031788465,0.0443229316666999,2.134,14.9673
TbOF,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.3720410580113014,8.0,65.0,57.0,27.33333333333333,25.111111111111114,8.0,29.0,93.0,64.0,69.66666666666667,27.11111111111111,29.0,15.9994,158.92535,142.92595,64.64105106666666,62.85619928888889,15.9994,53.5,1629.0,1575.5,579.1,699.9333333333334,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,57.0,194.0,137.0,105.66666666666669,58.88888888888889,57.0,1.21,3.98,2.77,2.8766666666666665,1.1111111111111112,1.21,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,0.0,6.0,11.0,5.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,1.0,5.0,4.0,2.6666666666666665,1.5555555555555554,1.0,9.105,31.7366666667,22.6316666667,16.849722222233336,9.924629629644445,9.105,0.0,1.97,1.97,0.6566666666666666,0.8755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,73.66666666666667,80.22222222222223,12.0,2.0,3.0,0.0,3.0,True,0.8742676704055721,0.1877985827388015,-3.94344592823,-6.77333333333e-05,-7.699438098330001,-0.0630453849878,5.186,13.0466
PuF3,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,9.0,94.0,85.0,30.25,31.875,9.0,24.0,93.0,69.0,75.75,25.875,93.0,18.9984032,244.0,225.0015968,75.2488024,84.3755988,18.9984032,53.5,913.0,859.5,268.375,322.3125,53.5,3.0,17.0,14.0,13.5,5.25,17.0,2.0,7.0,5.0,3.25,1.875,2.0,57.0,187.0,130.0,89.5,48.75,57.0,1.28,3.98,2.7,3.305,1.0125000000000002,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.5,2.25,0.0,7.0,8.0,1.0,7.25,0.375,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,3.0,0.0,1.0,8.0,7.0,2.75,2.625,1.0,9.7075,18.08,8.372499999999999,11.800625,3.1396875,9.7075,0.0,1.97,1.97,1.4775,0.73875,1.97,0.0,0.3180036375,0.3180036375,0.079500909375,0.1192513640625,0.0,11.0,15.0,4.0,14.0,1.5,15.0,2.0,3.75,0.0,1.5,False,0.8383788075346608,0.1571960264127488,-3.9029157631,1.25007795,-8.57020485125,-2.87811715082,0.0,12.5932
BaTiF6,3,0.770551750371122,0.7523077068508066,0.7500385762783648,0.7500007654787457,0.7500000024807257,9.0,56.0,47.0,16.5,11.25,9.0,9.0,93.0,84.0,76.25,25.125,93.0,18.9984032,137.327,118.3285968,37.3980524,27.5994738,18.9984032,53.5,1941.0,1887.5,407.75,531.375,53.5,2.0,17.0,15.0,13.5,5.25,17.0,2.0,6.0,4.0,2.75,1.125,2.0,57.0,215.0,158.0,89.625,48.9375,57.0,0.89,3.98,3.09,3.28875,1.036875,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,2.0,2.0,0.25,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,6.0,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,8.0,8.0,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.75,1.5625,1.0,9.7075,63.59,53.88250000000001,17.315625,11.568593750000002,9.7075,0.0,1.97,1.97,1.4775,0.7387499999999999,1.97,0.0,2.25333333333e-05,2.25333333333e-05,2.8166666666625e-06,4.929166666659376e-06,0.0,15.0,229.0,214.0,64.125,73.6875,15.0,2.0,3.75,0.25,0.0,True,0.908097311920564,0.1592878223975067,-3.90125966232,-1.24625e-05,-6.19665098875,-0.546675160075,4.214,13.5696
