pretty_comp,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,stability,magmom_pa,volume_pa,delta_e,energy_pa,bandgap
ScBiO3,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,8.0,83.0,75.0,25.6,22.96,8.0,11.0,87.0,76.0,71.6,24.24,87.0,15.9994,208.9804,192.981,60.3869024,59.43739904,15.9994,54.8,1814.0,1759.2,504.56000000000006,539.7120000000001,54.8,3.0,16.0,13.0,13.2,4.08,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,170.0,104.0,103.2,44.64,66.0,1.36,3.44,2.08,2.74,0.8400000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,14.0,14.0,2.8,4.48,0.0,3.0,29.0,26.0,10.0,7.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.6,2.16,2.0,9.105,32.95,23.845,16.5,8.874,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.27e-06,2.032e-06,0.0,12.0,194.0,182.0,48.4,58.24,12.0,2.0,3.0,2.2,2.8,True,0.6609473927455578,0.1309550063359524,0.34636506275,-0.00012174,13.2443,-2.29434356153,-7.081780648,1.047
LiVO3,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,3.0,23.0,20.0,10.0,5.2,8.0,1.0,87.0,86.0,61.6,30.48,87.0,6.941,50.9415,44.0005,21.17614,11.906144,15.9994,54.8,2183.0,2128.2,560.2180000000001,649.1128000000001,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,4.0,2.0,2.4,0.6399999999999999,2.0,66.0,153.0,87.0,95.8,35.760000000000005,66.0,0.98,3.44,2.46,2.586,1.0248000000000002,3.44,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,7.0,7.0,1.4,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.8,1.6799999999999995,2.0,9.105,16.5933333333,7.488333333299998,11.38366666666,2.7343999999919992,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0,1.8,2.4,0.6,0.0,True,0.7797297329475583,0.1646737339574168,0.00570793300001,0.000121435,11.4524,-2.36705841658,-6.712928416,3.347
HoTaO4,3,0.7071067811865476,0.6735400034370317,0.6669268801209055,0.6666782918025496,0.666666793823133,8.0,73.0,65.0,28.666666666666668,27.555555555555557,8.0,33.0,87.0,54.0,71.5,20.666666666666668,87.0,15.9994,180.94788,164.94848,68.31263333333332,69.75097777777778,15.9994,54.8,3290.0,3235.2,876.0333333333333,1094.977777777778,54.8,3.0,16.0,13.0,12.0,5.333333333333333,16.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,66.0,192.0,126.0,104.33333333333331,51.11111111111111,66.0,1.23,3.44,2.21,2.748333333333333,0.9222222222222222,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,14.0,14.0,4.166666666666667,5.5555555555555545,0.0,6.0,19.0,13.0,9.333333333333334,4.444444444444445,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444449,0.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,2.0,7.0,5.0,3.0,1.3333333333333333,2.0,9.105,30.7333333333,21.6283333333,14.212222222216669,6.809629629622222,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,78.5,88.66666666666667,12.0,2.0,2.6666666666666665,0.5,4.166666666666667,True,0.7050722889619607,0.1465900936391292,0.002981915,-5.68333333333e-05,12.0867,-3.55672134114,-9.31047215333,4.131
K2ReI6,3,0.7114582486036499,0.6758002217303778,0.6672315521896236,0.6667105455840667,0.6666677967664446,19.0,75.0,56.0,47.888888888888886,12.839506172839508,53.0,3.0,96.0,93.0,70.66666666666667,33.77777777777778,96.0,39.0983,186.207,147.1087,113.98115777777778,33.28127012345679,126.90447,336.53,3459.0,3122.4700000000003,717.0177777777777,609.3293827160493,386.85,1.0,17.0,16.0,12.333333333333334,6.222222222222222,17.0,4.0,6.0,2.0,4.888888888888889,0.3950617283950615,5.0,139.0,203.0,64.0,154.55555555555554,21.530864197530857,139.0,0.82,2.66,1.8400000000000003,2.1666666666666665,0.657777777777778,2.66,1.0,2.0,1.0,1.7777777777777777,0.345679012345679,2.0,0.0,5.0,5.0,3.333333333333333,2.2222222222222223,5.0,0.0,10.0,10.0,7.222222222222222,3.7037037037037033,10.0,0.0,14.0,14.0,1.5555555555555556,2.765432098765432,0.0,1.0,21.0,20.0,13.88888888888889,5.728395061728395,17.0,0.0,1.0,1.0,0.2222222222222222,0.345679012345679,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,5.0,5.0,0.5555555555555556,0.9876543209876544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.4444444444444444,0.7901234567901234,1.0,14.655,73.1066666667,58.45166666669999,46.550925925933335,11.80255144034074,43.015,0.0,1.062,1.062,0.708,0.472,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,115.11111111111111,68.14814814814814,64.0,1.7777777777777777,3.333333333333333,7.222222222222222,1.5555555555555556,True,0.5710436013209271,0.1008041955092115,0.0314553318415,0.333304877778,41.8425,-0.756247428286,-3.28157963833,0.938
Li2VO3,3,0.6236095644623235,0.5503212081491045,0.5128974808990104,0.5041104334909742,0.5008612172408381,3.0,23.0,20.0,8.833333333333334,4.722222222222222,8.0,1.0,87.0,86.0,51.5,35.5,87.0,6.941,50.9415,44.0005,18.803616666666667,10.712627777777778,15.9994,54.8,2183.0,2128.2,542.4633333333334,546.8455555555556,54.8,1.0,16.0,15.0,9.166666666666666,6.833333333333333,16.0,2.0,4.0,2.0,2.333333333333333,0.5555555555555557,2.0,66.0,153.0,87.0,101.16666666666669,35.166666666666664,66.0,0.98,3.44,2.46,2.3183333333333334,1.1216666666666668,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.166666666666667,2.111111111111111,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.5,1.5,2.0,9.105,16.5933333333,7.488333333299998,12.251944444433333,3.1469444444333328,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,120.5,108.5,12.0,1.6666666666666667,2.0,0.5,0.0,False,0.7797297329475583,0.1821186264502901,0.0230954055878,0.166652133333,8.58054,-2.44974567049,-6.38740504833,1.645
CaFeO2,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,8.0,26.0,18.0,15.5,7.5,8.0,7.0,87.0,80.0,59.0,28.0,87.0,15.9994,55.845,39.8456,31.98045,15.98105,15.9994,54.8,1811.0,1756.2,758.9,704.0999999999999,54.8,2.0,16.0,14.0,10.5,5.5,16.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,176.0,110.0,110.0,44.0,66.0,1.0,3.44,2.44,2.4275,1.0125,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,6.0,6.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,5.5,1.75,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,2.0,9.105,37.77,28.665000000000003,16.677500000000002,10.54625,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5276657,0.79149855,0.0,12.0,229.0,217.0,119.5,107.5,12.0,2.0,2.0,1.5,0.0,True,0.7742664595807831,0.1662867186256096,0.045025075,0.999141675,12.4355,-2.31290294004,-6.5847532375,0.0
Cs2TiS3,3,0.6236095644623235,0.5503212081491045,0.5128974808990104,0.5041104334909742,0.5008612172408381,16.0,55.0,39.0,30.0,16.666666666666668,16.0,5.0,88.0,83.0,52.833333333333336,35.166666666666664,88.0,32.065,132.9054519,100.8404519,68.31215063333333,43.06220084444445,32.065,301.59,1941.0,1639.41,618.2099999999999,440.9299999999999,388.36,1.0,16.0,15.0,9.0,7.0,16.0,3.0,6.0,3.0,4.166666666666667,1.2222222222222223,3.0,105.0,244.0,139.0,160.5,55.66666666666666,105.0,0.79,2.58,1.79,1.81,0.77,2.58,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,2.0,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,2.0,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,8.0,1.3333333333333333,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,2.6666666666666665,1.777777777777778,2.0,16.69,115.765,99.075,54.2634375,41.00104166666667,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,2.25333333333e-05,2.25333333333e-05,3.75555555555e-06,6.25925925925e-06,0.0,70.0,229.0,159.0,143.66666666666666,73.66666666666667,70.0,1.6666666666666667,2.0,0.3333333333333333,0.0,True,0.5511313621135028,0.1188870958153145,-0.256986742083,2.29333333333e-05,31.6073,-1.5308591268,-5.0181861075,1.329
LiNbO3,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,3.0,41.0,38.0,13.6,10.96,8.0,1.0,87.0,86.0,61.8,30.24,87.0,6.941,92.90638,85.96538,29.569116,25.334905600000003,15.9994,54.8,2750.0,2695.2,673.618,830.5528,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,5.0,3.0,2.6,0.9600000000000002,2.0,66.0,164.0,98.0,98.0,38.4,66.0,0.98,3.44,2.46,2.58,1.032,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.8,1.6799999999999995,2.0,9.105,18.18,9.075,12.41766666666,3.975199999992,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0,1.6,2.4,0.8,0.0,True,0.7797297329475583,0.1657578731438475,0.035169301,-4.845e-05,10.6795,-2.70226387453,-7.814344819,2.64
K3Mn2F7,3,0.6561673228343177,0.6025355660438075,0.5852298877168572,0.5835673037013095,0.5833457376874627,9.0,25.0,16.0,14.166666666666666,6.027777777777779,9.0,3.0,93.0,90.0,63.66666666666666,34.22222222222222,93.0,18.9984032,54.938045,35.939641800000004,30.0133177,12.850733583333335,18.9984032,53.5,1519.0,1465.5,368.5075,383.4975,53.5,1.0,17.0,16.0,11.333333333333334,6.611111111111112,17.0,2.0,4.0,2.0,2.833333333333333,0.9722222222222222,2.0,57.0,203.0,146.0,107.16666666666669,58.52777777777777,57.0,0.82,3.98,3.16,2.785,1.3941666666666668,3.98,1.0,2.0,1.0,1.75,0.375,2.0,0.0,5.0,5.0,2.9166666666666665,2.430555555555556,5.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.5,2.25,7.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,1.0,1.0,0.5833333333333334,0.4861111111111111,1.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.6666666666666667,1.111111111111111,1.0,9.7075,73.1066666667,63.3991666667,25.687306034491662,23.70968031610416,9.7075,0.0,1.97,1.97,1.149166666666667,0.9576388888888888,1.97,0.0,0.000310120689655,0.000310120689655,5.168678160916666e-05,8.614463601527778e-05,0.0,15.0,229.0,214.0,102.16666666666669,101.69444444444446,15.0,1.75,2.9166666666666665,0.8333333333333334,0.0,True,0.9176189628313964,0.2140236693477008,-0.00173413094501,0.833332116667,15.0667,-2.83985234471,-5.46838355583,1.54
Fe2P2O7,3,0.6863485850246136,0.6461085146520509,0.636847546393112,0.6363918918735771,0.6363640977380328,8.0,26.0,18.0,12.545454545454543,5.785123966942148,8.0,55.0,87.0,32.0,80.45454545454545,9.25619834710744,87.0,15.9994,55.845,39.8456,25.96666581818182,12.685611041322316,15.9994,54.8,1811.0,1756.2,421.8363636363637,505.1504132231405,54.8,8.0,16.0,8.0,14.363636363636363,2.31404958677686,16.0,2.0,4.0,2.0,2.5454545454545454,0.6942148760330579,2.0,66.0,132.0,66.0,85.45454545454545,24.7603305785124,66.0,1.83,3.44,1.61,2.92,0.6618181818181817,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.090909090909091,1.1570247933884297,4.0,0.0,6.0,6.0,1.0909090909090908,1.7851239669421488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.181818181818182,0.6611570247933883,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.818181818181818,0.6611570247933884,2.0,0.0,4.0,4.0,0.7272727272727273,1.190082644628099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.5454545454545454,0.6942148760330579,2.0,9.105,22.5702380952,13.4652380952,11.848679653672727,3.898748524191737,9.105,0.0,1.625,1.625,0.2954545454545454,0.4834710743801653,0.0,0.0,2.1106628,2.1106628,0.3837568727272727,0.6279657917355372,0.0,2.0,229.0,227.0,49.63636363636363,65.22314049586777,12.0,2.0,3.090909090909091,1.0909090909090908,0.0,True,0.4769221640068621,0.0936492514228563,-0.00435205658968,0.727275127273,11.055,-2.31101454145,-7.22975860455,3.714
