feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,label
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,26.0,72.0,46.0,41.333332,20.444445,26.0,45.0,55.0,10.0,51.666668,4.4444447,55.0,55.845,178.49,122.645,96.72667,54.50889,55.845,1811.0,2506.0,695.0,2042.6666,308.8889,1811.0,4.0,8.0,4.0,6.6666665,1.7777778,8.0,4.0,6.0,2.0,4.6666665,0.8888889,4.0,132.0,175.0,43.0,146.33333,19.11111,132.0,1.3,1.83,0.53,1.6533333,0.23555556,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.6666665,1.7777778,6.0,0.0,14.0,14.0,4.6666665,6.2222223,0.0,8.0,18.0,10.0,11.333333,4.4444447,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.3333335,1.7777778,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.3333335,1.7777778,4.0,10.73,22.2,11.47,14.553333,5.097778,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106627,2.1106627,1.4071085,0.9380724,2.1106627,194.0,229.0,35.0,217.33333,15.555555,229.0,2.0,0.0,4.6666665,4.6666665,0.0,0.067815945,0.01507021,1.0590554,-9.202362,-0.12441519,0.0,14.0613,-0.34530774
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,32.0,78.0,46.0,47.333332,20.444445,32.0,63.0,79.0,16.0,73.666664,7.111111,79.0,72.64,195.084,122.444,113.454666,54.419556,72.64,1211.4,2041.4,830.0,1488.0667,368.8889,1211.4,10.0,14.0,4.0,12.666667,1.7777778,14.0,4.0,6.0,2.0,4.6666665,0.8888889,4.0,120.0,136.0,16.0,125.333336,7.111111,120.0,2.01,2.28,0.27,2.1,0.12,2.01,1.0,2.0,1.0,1.6666666,0.44444445,2.0,0.0,2.0,2.0,1.3333334,0.8888889,2.0,9.0,10.0,1.0,9.666667,0.44444445,10.0,0.0,14.0,14.0,4.6666665,6.2222223,0.0,14.0,24.0,10.0,17.333334,4.4444447,14.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,4.0,4.0,2.6666667,1.7777778,4.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.3333333,0.8888889,4.0,15.02,23.005,7.985,20.343334,3.548889,23.005,0.0,0.383,0.383,0.25533333,0.17022222,0.383,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,1.6666666,1.3333334,9.666667,4.6666665,0.0,0.01805993,0.0040133176,0.0006625,-5.4446254,0.004619371,0.0,18.1301,-0.34357706
3.0,0.65465367,0.59704846,0.575065,0.57206917,0.5714844,23.0,52.0,29.0,39.857143,13.877551,52.0,46.0,90.0,44.0,72.0,20.571428,90.0,50.9415,127.6,76.6585,95.04767,37.20266,127.6,722.66,2183.0,1460.34,1347.6628,714.289,722.66,5.0,16.0,11.0,11.571428,5.0612245,16.0,4.0,5.0,1.0,4.571429,0.48979592,5.0,138.0,153.0,15.0,140.42857,3.5918367,138.0,1.63,2.1,0.47,1.9071429,0.22040816,2.1,1.0,2.0,1.0,1.7142857,0.40816328,2.0,0.0,4.0,4.0,2.2857144,1.9591837,4.0,3.0,10.0,7.0,7.571429,2.7755103,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,11.0,11.571428,5.0612245,16.0,0.0,1.0,1.0,0.2857143,0.40816328,0.0,0.0,2.0,2.0,1.1428572,0.97959185,2.0,0.0,7.0,7.0,2.4285715,2.7755103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.857143,2.122449,2.0,11.19,34.763332,23.573334,24.920477,11.24898,34.763332,0.0,0.464,0.464,0.26514286,0.22726531,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,185.0,37.714287,152.0,1.7142857,2.2857144,7.571429,0.0,0.0,0.053727787,0.012108984,1.286222,-6.016332,0.010158294,0.0,24.2758,-0.22701108
3.0,0.57735026,0.48074985,0.41524366,0.38997695,0.37204105,45.0,70.0,25.0,55.0,10.0,45.0,39.0,80.0,41.0,59.333332,13.777778,39.0,102.9055,173.054,70.1485,131.5565,27.665,102.9055,505.08,2237.0,1731.92,1278.0266,639.31555,505.08,3.0,14.0,11.0,8.666667,3.7777777,3.0,5.0,6.0,1.0,5.3333335,0.44444445,5.0,139.0,187.0,48.0,156.0,20.666666,139.0,1.26,2.28,1.02,1.8333334,0.38222224,1.26,1.0,2.0,1.0,1.6666666,0.44444445,1.0,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,10.0,10.0,6.0,4.0,0.0,0.0,14.0,14.0,4.6666665,6.2222223,0.0,9.0,16.0,7.0,13.0,2.6666667,9.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,4.0,4.0,1.3333334,1.7777778,0.0,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.3333333,1.5555556,0.0,13.64,34.12,20.48,27.015,8.916667,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,225.0,84.0,197.0,37.333332,141.0,1.6666666,0.6666667,6.0,4.6666665,0.0,0.29397172,0.054228827,3.4722223e-05,-5.0108323,-0.043327283,0.0,20.8813,-0.77874106
3.0,0.57735026,0.48074985,0.41524366,0.38997695,0.37204105,51.0,78.0,27.0,66.333336,10.222222,51.0,39.0,85.0,46.0,62.333332,15.555555,39.0,121.76,195.084,73.324,163.29933,27.692888,121.76,903.78,2041.4,1137.62,1345.7267,463.78223,903.78,3.0,15.0,12.0,9.333333,4.2222223,3.0,5.0,6.0,1.0,5.6666665,0.44444445,5.0,136.0,187.0,51.0,154.0,22.0,136.0,1.26,2.28,1.02,1.8633333,0.40222222,1.26,1.0,2.0,1.0,1.6666666,0.44444445,1.0,0.0,3.0,3.0,1.0,1.3333334,0.0,0.0,10.0,10.0,6.3333335,4.2222223,0.0,0.0,14.0,14.0,9.333333,6.2222223,0.0,15.0,24.0,9.0,18.333334,3.7777777,15.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,3.0,3.0,1.0,1.3333334,0.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.6666666,1.1111112,0.0,15.02,34.12,19.1,26.9,7.92,15.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,205.33333,26.222221,166.0,1.6666666,1.0,6.3333335,9.333333,0.0,0.29397172,0.056565817,-0.0003728,-4.8599586,2.7353333e-05,0.0,24.0262,-0.96459275
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,33.0,58.0,25.0,43.2,8.16,33.0,15.0,84.0,69.0,61.4,18.56,62.0,74.9216,140.116,65.1944,100.55984,20.510592,74.9216,1071.0,1828.05,757.05,1381.42,357.304,1090.0,3.0,15.0,12.0,10.6,3.52,10.0,4.0,6.0,2.0,4.8,0.64,4.0,119.0,204.0,85.0,144.0,24.0,119.0,1.12,2.2,1.08,1.976,0.3424,2.18,0.0,2.0,2.0,1.2,0.96,0.0,0.0,3.0,3.0,1.2,1.44,0.0,1.0,10.0,9.0,8.2,2.88,10.0,0.0,1.0,1.0,0.2,0.32,0.0,4.0,15.0,11.0,10.8,3.36,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,13.0,13.0,2.6,4.16,0.0,0.0,22.0,22.0,5.6,6.56,0.0,14.41,37.24,22.83,22.082,6.1376,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,195.2,23.84,166.0,1.2,1.2,8.2,0.2,0.0,0.2529327,0.039842308,0.00098662,-5.7566943,0.0023825753,0.0,19.5315,-0.8698057
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,28.0,62.0,34.0,36.8,10.08,28.0,23.0,84.0,61.0,62.6,17.12,61.0,58.6934,150.36,91.6666,83.518,26.7368,58.6934,1090.0,1728.0,638.0,1396.2,265.44,1090.0,3.0,15.0,12.0,10.6,3.52,10.0,4.0,6.0,2.0,4.4,0.64,4.0,119.0,198.0,79.0,136.8,24.48,119.0,1.17,2.18,1.01,1.87,0.28,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,10.0,10.0,7.2,2.88,8.0,0.0,6.0,6.0,1.2,1.92,0.0,8.0,15.0,7.0,11.6,2.72,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,8.0,8.0,1.6,2.56,0.0,2.0,8.0,6.0,3.6,1.76,2.0,10.32,33.23,22.91,19.644,7.4592,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.23815788,0.28578946,0.0,166.0,225.0,59.0,189.6,28.32,166.0,2.0,1.2,7.2,1.2,0.0,0.22510287,0.031133225,0.00280938,-5.8617234,-0.026769334,0.0,16.4101,-0.8313546
3.0,0.61237246,0.5386087,0.50609934,0.50110865,0.5000976,29.0,51.0,22.0,42.5,8.5,51.0,12.0,85.0,73.0,61.5,24.75,85.0,63.546,121.76,58.214,98.992966,22.767038,121.76,903.78,1799.0,895.22,1241.0825,337.3025,903.78,3.0,15.0,12.0,11.0,4.0,15.0,4.0,5.0,1.0,4.75,0.375,5.0,132.0,190.0,58.0,150.0,20.0,139.0,1.22,2.05,0.83,1.805,0.2925,2.05,1.0,2.0,1.0,1.75,0.375,2.0,0.0,3.0,3.0,1.5,1.5,3.0,1.0,10.0,9.0,7.75,3.375,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,12.0,11.0,4.0,15.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.5,1.5,3.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.0,2.5,3.0,11.07,32.365,21.295,26.63875,7.784375,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,187.75,21.75,166.0,1.75,1.5,7.75,0.0,0.0,0.15821025,0.027300464,-0.0003164875,-5.228573,-0.04067556,0.0,22.9205,-0.6246965
3.0,0.61237246,0.5386087,0.50609934,0.50110865,0.5000976,45.0,70.0,25.0,53.25,8.375,49.0,39.0,75.0,36.0,62.0,13.0,75.0,102.9055,173.054,70.1485,126.39887,23.327562,114.818,429.75,2237.0,1807.25,1047.125,617.375,429.75,3.0,13.0,10.0,9.5,3.5,13.0,5.0,6.0,1.0,5.25,0.375,5.0,142.0,187.0,45.0,153.25,16.875,142.0,1.26,2.28,1.02,1.775,0.2575,1.78,1.0,2.0,1.0,1.75,0.375,2.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,10.0,10.0,7.0,3.5,10.0,0.0,14.0,14.0,3.5,5.25,0.0,9.0,16.0,7.0,12.75,1.875,13.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.5,2.5,5.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.25,1.75,5.0,13.64,34.12,20.48,24.07,5.215,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,225.0,86.0,182.0,43.0,139.0,1.75,0.5,7.0,3.5,0.0,0.29397172,0.039592665,-0.0018657375,-4.1589265,-0.056005184,0.0,21.9889,-0.60341203
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,32.0,69.0,37.0,44.333332,16.444445,32.0,37.0,79.0,42.0,65.0,18.666666,79.0,72.64,168.9342,96.29421,104.73807,42.79743,72.64,1211.4,1818.0,606.6,1413.6,269.6,1211.4,3.0,14.0,11.0,10.333333,4.888889,14.0,4.0,6.0,2.0,4.6666665,0.8888889,4.0,120.0,190.0,70.0,143.33333,31.11111,120.0,1.25,2.01,0.76,1.7566667,0.33777776,2.01,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.3333334,0.8888889,2.0,0.0,10.0,10.0,6.6666665,4.4444447,10.0,0.0,13.0,13.0,4.3333335,5.7777777,0.0,14.0,15.0,1.0,14.333333,0.44444445,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666667,1.7777778,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33333334,0.44444445,0.0,1.0,4.0,3.0,3.0,1.3333334,4.0,23.005,29.78,6.775,25.263334,3.011111,23.005,0.0,0.383,0.383,0.25533333,0.17022222,0.383,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66667,13.777778,225.0,2.0,1.3333334,6.6666665,4.3333335,0.0,0.13445854,0.029879674,-0.00037786667,-5.165919,-0.025203219,0.0,20.6667,-0.59178233
